feature,coefficient,abs_coef
cat__Model_Regal,2834.101528365609,2834.101528365609
cat__Model_GS300,2823.0333983360115,2823.0333983360115
cat__Model_Diamante,-2803.9493599914913,2803.9493599914913
cat__Company_Nissan,-2798.060586402871,2798.060586402871
cat__Model_3000GT,-2763.5347794276076,2763.5347794276076
cat__Model_Carrera Coupe,-2751.890268351777,2751.890268351777
cat__Model_Sebring Coupe,2706.8305898023073,2706.8305898023073
cat__Company_Oldsmobile,2694.35201896619,2694.35201896619
cat__Model_Camaro,2659.213205414076,2659.213205414076
cat__Model_A6,-2622.476958144557,2622.476958144557
cat__Model_Sunfire,2406.850804544097,2406.850804544097
cat__Model_Boxter,-2333.5277701559953,2333.5277701559953
cat__Model_Frontier,2291.5429410789384,2291.5429410789384
cat__Model_Cougar,2288.793991621685,2288.793991621685
cat__Model_Celica,-2273.781237944743,2273.781237944743
cat__Model_Accord,-2206.6580336301195,2206.6580336301195
cat__Company_BMW,-2109.214863870666,2109.214863870666
cat__Company_Acura,2057.7651648543433,2057.7651648543433
cat__Model_Voyager,2041.4482501115695,2041.4482501115695
cat__Model_5-Sep,-2040.8041044757565,2040.8041044757565
cat__Model_300M,-1976.1782209250732,1976.1782209250732
cat__Model_Eldorado,1925.0893159652103,1925.0893159652103
cat__Company_Dodge,-1920.742737743622,1920.742737743622
cat__Company_Lexus,1900.5399890788412,1900.5399890788412
cat__Model_CL500,-1860.8438308277164,1860.8438308277164
cat__Model_S70,-1810.262168113245,1810.262168113245
cat__Model_S-Class,1804.2402884336116,1804.2402884336116
cat__Model_Golf,-1789.2158427974564,1789.2158427974564
cat__Company_Audi,-1779.2911048577996,1779.2911048577996
cat__Company_Subaru,1746.9449427723735,1746.9449427723735
cat__Model_GTI,-1675.9186675367116,1675.9186675367116
cat__Model_Carrera Cabrio,1669.5641495179443,1669.5641495179443
cat__Company_Saturn,1664.8124381445127,1664.8124381445127
cat__Model_Cherokee,1596.4426464332305,1596.4426464332305
cat__Company_Volkswagen,-1563.924920076448,1563.924920076448
cat__Model_ES300,-1440.6397037595307,1440.6397037595307
cat__Model_Town & Country,1435.0853048822098,1435.0853048822098
cat__Model_SLK,1426.5174030752112,1426.5174030752112
cat__Company_Lincoln,1399.3328138636966,1399.3328138636966
cat__Model_S-Type,-1278.0435679237585,1278.0435679237585
cat__Company_Jaguar,-1278.043564008854,1278.043564008854
cat__Model_Corolla,-1240.2360584795379,1240.2360584795379
cat__Company_Plymouth,1232.0944389461674,1232.0944389461674
cat__Model_328i,1221.4573604325496,1221.4573604325496
cat__Company_Honda,1220.6518274332602,1220.6518274332602
cat__Company_Chevrolet,-1122.459120495743,1122.459120495743
cat__Model_Breeze,-1119.4503090837154,1119.4503090837154
cat__Model_Elantra,1093.966291108268,1093.966291108268
cat__Company_Infiniti,1059.504259322267,1059.504259322267
cat__Model_I30,1059.504254109242,1059.504254109242
cat__Company_Ford,1047.8206204072676,1047.8206204072676
cat__Company_Mercury,-959.3746764250009,959.3746764250009
cat__Model_SW,-886.7190846280159,886.7190846280159
cat__Body Style_Hardtop,-847.1647073750969,847.1647073750969
cat__Model_Silhouette,-735.2832199475588,735.2832199475588
cat__Model_Lumina,-715.4760741019732,715.4760741019732
cat__Company_Mercedes-B,-657.6580073787309,657.6580073787309
cat__Model_Eclipse,-618.2721570753984,618.2721570753984
cat__Model_Quest,-607.8593521534012,607.8593521534012
cat__Model_E-Class,-596.2625323514862,596.2625323514862
cat__Body Style_Sedan,557.1925671067261,557.1925671067261
cat__Model_Mustang,554.3820514172239,554.3820514172239
cat__Company_Volvo,-511.3321889168419,511.3321889168419
cat__Body Style_Passenger,502.127172706083,502.127172706083
cat__Dealer_Region_Austin,426.80814740917504,426.80814740917504
cat__Model_4Runner,390.37450738850976,390.37450738850976
cat__Dealer_Region_Janesville,-312.4882392329537,312.4882392329537
cat__Company_Toyota,243.39579199836862,243.39579199836862
cat__Model_Avenger,-213.62203252327754,213.62203252327754
cat__Model_SL-Class,179.74921045363885,179.74921045363885
cat__Model_S40,-176.12357910734522,176.12357910734522
cat__Model_Caravan,-150.67612284907705,150.67612284907705
cat__Body Style_Hatchback,-143.81323421973866,143.81323421973866
cat__Dealer_Region_Aurora,-112.05134701039424,112.05134701039424
cat__Dealer_Region_Pasco,-87.73793509045481,87.73793509045481
cat__Dealer_Region_Greenville,72.49246964139184,72.49246964139184
cat__Transmission_Auto,71.24590844744034,71.24590844744034
cat__Transmission_Manual,-71.24590844699378,71.24590844699378
cat__Body Style_SUV,-68.34179817291079,68.34179817291079
cat__Company_Buick,64.00154801328267,64.00154801328267
cat__Model_Monte Carlo,55.71031019494876,55.71031019494876
cat__Dealer_Region_Middletown,50.571347231750224,50.571347231750224
cat__Dealer_Region_Scottsdale,-37.594443000808496,37.594443000808496
remainder__Annual Income,0.00017019783172145253,0.00017019783172145253
