raw,canonical
acura,acura
audi,audi
bmw,bmw
buick,buick
cadillac,cadillac
chevrolet,chevrolet
chrysler,chrysler
dodge,dodge
ford,ford
honda,honda
hyundai,hyundai
infiniti,infiniti
jaguar,jaguar
jeep,jeep
lexus,lexus
lincoln,lincoln
mercedes-b,mercedes-benz
mercury,mercury
mitsubishi,mitsubishi
nissan,nissan
oldsmobile,oldsmobile
plymouth,plymouth
pontiac,pontiac
porsche,porsche
saab,saab
saturn,saturn
subaru,subaru
toyota,toyota
volkswagen,volkswagen
volvo,volvo
